<Athletic_Park_(Vancouver)>	Athletic Park (Vancouver)
<Junior_(TV_channel)>	Junior (TV channel)
<John_Calipari>	John Calipari
<Adam_Riess>	Adam Riess
<Lift_Labs>	Lift Labs
<Kheireddine_Zarabi>	Kheireddine Zarabi
<Friedrichswerder_Church>	Friedrichswerder Church
<Hasbro>	Hasbro
<Gaiam_Vivendi_Entertainment>	Gaiam Vivendi Entertainment
<George_Jonas>	George Jonas
<Edinburgh>	Edinburgh
<Dolores_Dorn>	Dolores Dorn
<Tommy_Hughitt>	Tommy Hughitt
<Jasmin_St._Claire>	Jasmin St. Claire
<FC_Slutsk>	FC Slutsk
<Ann_Robinson>	Ann Robinson
<The_Late_Mattia_Pascal>	The Late Mattia Pascal
<Hilary_Swank>	Hilary Swank
<Angela_Bettis>	Angela Bettis
<Kirk_Kerkorian>	Kirk Kerkorian
<Billy_May>	Billy May
<Gremlin_Interactive>	Gremlin Interactive
<Stephen_Vincent_Benét>	Stephen Vincent Benét
<Sid_Ramnarace>	Sid Ramnarace
<John_Quincy_Adams>	John Quincy Adams
<Independence_Day_Award>	Independence Day Award
<Fox_Interactive>	Fox Interactive
<My_Two_Dads>	My Two Dads
<Richard_Johnson_(actor)>	Richard Johnson (actor)
<The_Bar_(painting)>	The Bar (painting)
<Vilhelm_Dahlerup>	Vilhelm Dahlerup
<Bob_Boniface>	Bob Boniface
<NAS_Award_in_Molecular_Biology>	NAS Award in Molecular Biology
<Chidambaram_(film)>	Chidambaram (film)
<New_TT_Hellenic_Postbank>	New TT Hellenic Postbank
<Osei_Sankofa>	Osei Sankofa
<United_Democrats_of_Hong_Kong>	United Democrats of Hong Kong
<Lewis_Price>	Lewis Price
<Olivier_Assayas>	Olivier Assayas
<Jaguar_S-Type>	Jaguar S-Type
<The_Naked_Ape>	The Naked Ape
<New_Frontier_Party_(Japan)>	New Frontier Party (Japan)
<Tricia_Leigh_Fisher>	Tricia Leigh Fisher
<Hamburger_Hochbahn>	Hamburger Hochbahn
<University_of_Tennessee>	University of Tennessee
<Man_Sai-cheong>	Man Sai-cheong
<Fumiko_Enchi>	Fumiko Enchi
<Jeffrey_Byron>	Jeffrey Byron
<Capitalia>	Capitalia
<Sarah_Roemer>	Sarah Roemer
<W_Network>	W Network
<Harry_Lane>	Harry Lane
<Buffy_the_Vampire_Slayer>	Buffy the Vampire Slayer
<New_York_Brickley_Giants>	New York Brickley Giants
<Pam_Buchanan>	Pam Buchanan
<Gail_Omvedt>	Gail Omvedt
<Brittany_Byrnes>	Brittany Byrnes
<Roland_Hinton_Perry>	Roland Hinton Perry
<K._T._Stevens>	K. T. Stevens
<Crabwalk>	Crabwalk
<David_Bevan_(footballer)>	David Bevan (footballer)
<Belal_Muhammad>	Belal Muhammad
<Orihuela_CF>	Orihuela CF
<Sufia_Ahmed>	Sufia Ahmed
<Costas_Mandylor>	Costas Mandylor
<George_Duning>	George Duning
<Yoichiro_Nambu>	Yoichiro Nambu
<George_Batchelor>	George Batchelor
<Charles_Hale_Hoyt>	Charles Hale Hoyt
<David_Eisenberg>	David Eisenberg
<Medina_Wharf_Halt_railway_station>	Medina Wharf Halt railway station
<Clemence_Dane>	Clemence Dane
<Raymond_F._Almirall>	Raymond F. Almirall
<Moby>	Moby
<CFYN>	CFYN
<Norman_Lamb>	Norman Lamb
<Laurent_Wauquiez>	Laurent Wauquiez
<Kenneth_S._Reightler_Jr.>	Kenneth S. Reightler Jr.
<Texas_(TV_series)>	Texas (TV series)
<Cass_Sunstein>	Cass Sunstein
<Charlie_McDonnell>	Charlie McDonnell
<Charterhouse_Capital_Partners>	Charterhouse Capital Partners
<Sayyid_Ahmedullah_Qadri>	Sayyid Ahmedullah Qadri
<Rut_Holm>	Rut Holm
<Dwayne_Hickman>	Dwayne Hickman
<Jany_Holt>	Jany Holt
<Christopher_Guest>	Christopher Guest
<Shaun_Timmins_(footballer)>	Shaun Timmins (footballer)
<Suburgatory>	Suburgatory
<Morris_Perry>	Morris Perry
<Henry_Taube>	Henry Taube
<Jacqueline_Andere>	Jacqueline Andere
<Sally_Eilers>	Sally Eilers
<Sevilla_FC>	Sevilla FC
<Harlem>	Harlem
<Columbia,_South_Carolina>	Columbia, South Carolina
<Salem,_Massachusetts>	Salem, Massachusetts
<Joyce_Moreno_(footballer)>	Joyce Moreno (footballer)
<Grover_Dale>	Grover Dale
<Walter_W._Law>	Walter W. Law
<General_Motors>	General Motors
<Distinguished_Service_Order>	Distinguished Service Order
<Angus_Wilson>	Angus Wilson
<Polish_United_Workers'_Party>	Polish United Workers' Party
<Humlehjertene>	Humlehjertene
<Arlington_County,_Virginia>	Arlington County, Virginia
<Kevin_McCarthy_(actor)>	Kevin McCarthy (actor)
<Ian_Agol>	Ian Agol
<Felix_Frankfurter>	Felix Frankfurter
<England_national_football_team>	England national football team
<Tim_Jenkinson>	Tim Jenkinson
<Louis_Alphonse,_Duke_of_Anjou>	Louis Alphonse, Duke of Anjou
<Brian_De_Palma>	Brian De Palma
<Sonia_Greene>	Sonia Greene
<Seattle_SuperSonics>	Seattle SuperSonics
<OCT_Bay>	OCT Bay
<Aritz_Solabarrieta>	Aritz Solabarrieta
<Maria_Susanna_Cummins>	Maria Susanna Cummins
<Tampa,_Florida>	Tampa, Florida
<Up_the_Junction>	Up the Junction
<New_Zealand_Labour_Party>	New Zealand Labour Party
<Marc_Richards>	Marc Richards
<2ZB>	2ZB
<Stanley_B._Prusiner>	Stanley B. Prusiner
<The_Village_(2013_TV_series)>	The Village (2013 TV series)
<Artur_Kirilenko>	Artur Kirilenko
<Haywards_Heath>	Haywards Heath
<New_Standard_Aircraft_Company>	New Standard Aircraft Company
<Singapore>	Singapore
<Steve_Berra>	Steve Berra
<John_Jaffer_Janardhanan>	John Jaffer Janardhanan
<2010_FIFA_World_Cup_South_Africa_(video_game)>	2010 FIFA World Cup South Africa (video game)
<Lauren_Bowles>	Lauren Bowles
<Silver_Slugger_Award>	Silver Slugger Award
<Nic_Taylor>	Nic Taylor
<Jay_Z>	Jay Z
<The_Green_Pastures>	The Green Pastures
<Lillestrøm_SK>	Lillestrøm SK
<Morgan_Stanley_Wealth_Management>	Morgan Stanley Wealth Management
<Bryn_Mawr_College>	Bryn Mawr College
<Penn_National_Gaming>	Penn National Gaming
<Jason_Reese>	Jason Reese
<Brian_Mulroney>	Brian Mulroney
<George_Taylor_(Australian_politician)>	George Taylor (Australian politician)
<St._Ursula_Academy_(Toledo,_Ohio)>	St. Ursula Academy (Toledo, Ohio)
<Bernard_Goldsmith>	Bernard Goldsmith
<Ryan_Bertrand>	Ryan Bertrand
<Kim_Delaney>	Kim Delaney
<Marilyn_McCord_Adams>	Marilyn McCord Adams
<Intikhab>	Intikhab
<Habichtstraße_(Hamburg_U-Bahn_station)>	Habichtstraße (Hamburg U-Bahn station)
<Red_Riding_Hood_(2011_film)>	Red Riding Hood (2011 film)
<Bruce_Hart_(wrestler)>	Bruce Hart (wrestler)
<Silver_Spring,_Maryland>	Silver Spring, Maryland
<Tolgahan_Sayışman>	Tolgahan Sayışman
<Jesús_Franco>	Jesús Franco
<Mathías_Vidangossy>	Mathías Vidangossy
<Pedro_Mario_Álvarez>	Pedro Mario Álvarez
<A_Watcher_in_the_Woods>	A Watcher in the Woods
<Augustus_FitzRoy,_3rd_Duke_of_Grafton>	Augustus FitzRoy, 3rd Duke of Grafton
<Bill_Hudson_(singer)>	Bill Hudson (singer)
<NCR_Corporation>	NCR Corporation
<Niven_Busch>	Niven Busch
<Intesa_Sanpaolo>	Intesa Sanpaolo
<Lisa_Joyner>	Lisa Joyner
<John_McCarthy_(computer_scientist)>	John McCarthy (computer scientist)
<Ahmed_Zewail>	Ahmed Zewail
<Foxy_Brown_(film)>	Foxy Brown (film)
<Crédit_Agricole_Srbija>	Crédit Agricole Srbija
<Spokane,_Washington>	Spokane, Washington
<Tracy_Reed_(English_actress)>	Tracy Reed (English actress)
<Bradley_Byrne>	Bradley Byrne
<Stanley_Kramer>	Stanley Kramer
<Oriol_Riera>	Oriol Riera
<Finsoe>	Finsoe
<Green_Bay_Packers>	Green Bay Packers
<N._Scott_Momaday>	N. Scott Momaday
<Beren_Saat>	Beren Saat
<Judy_Parfitt>	Judy Parfitt
<Gasolina>	Gasolina
<Richard_Jordan>	Richard Jordan
<Jacob_S._Coxey_Sr.>	Jacob S. Coxey Sr.
<No_Offence>	No Offence
<Brian_Austin_Green>	Brian Austin Green
<Carlos_Fuentes>	Carlos Fuentes
<The_Case_for_Animal_Rights>	The Case for Animal Rights
<Richard_Hamming>	Richard Hamming
<Gainesville,_Florida>	Gainesville, Florida
<CFR_Cluj>	CFR Cluj
<Shosaku_Numa>	Shosaku Numa
<Douglas_Engelbart>	Douglas Engelbart
<Kyra_Sedgwick>	Kyra Sedgwick
<Rafa_Jordà>	Rafa Jordà
<Deutsche_Bahn>	Deutsche Bahn
<Paulo_Torres>	Paulo Torres
<El-Ad_Group>	El-Ad Group
<James_L._Flanagan>	James L. Flanagan
<Pete_Carpenter>	Pete Carpenter
<Mariz_Umali>	Mariz Umali
<John_Kassir>	John Kassir
<Ann_Arbor,_Michigan>	Ann Arbor, Michigan
<Carl_Sagan>	Carl Sagan
<Cornell_University>	Cornell University
<Henrik_Fisker>	Henrik Fisker
<Hate_Story>	Hate Story
<Heinrich_Otto_Wieland>	Heinrich Otto Wieland
<Gerhard_Welz>	Gerhard Welz
<José_de_la_Cuadra>	José de la Cuadra
<The_Man_Who_Stayed_at_Home_(1914_play)>	The Man Who Stayed at Home (1914 play)
<Sea_Containers>	Sea Containers
<Jung_Jo-gook>	Jung Jo-gook
<Roger_Y._Tsien>	Roger Y. Tsien
<Carolyn_S._Shoemaker>	Carolyn S. Shoemaker
<IPL_Information_Processing_Limited>	IPL Information Processing Limited
<Zachary_Scott>	Zachary Scott
<Guthrie_McClintic>	Guthrie McClintic
<Walter_Richardson_(politician)>	Walter Richardson (politician)
<Wolverhampton_Wanderers_F.C.>	Wolverhampton Wanderers F.C.
<Twister_(roller_coaster)>	Twister (roller coaster)
<Tehran>	Tehran
<Lise_Simms>	Lise Simms
<Amanda_Fisher>	Amanda Fisher
<Alfred_Rittmann>	Alfred Rittmann
<Manuel_Curto>	Manuel Curto
<Tres_Cabrones>	Tres Cabrones
<Freshman_Love>	Freshman Love
<Uyyala_Jampala>	Uyyala Jampala
<Do_the_Windows_Open?>	Do the Windows Open?
<Vancouver_Grizzlies>	Vancouver Grizzlies
<Harry_Brand>	Harry Brand
<Parsons_Brinckerhoff>	Parsons Brinckerhoff
<Don_L._Anderson>	Don L. Anderson
<Buddy_Cianci>	Buddy Cianci
<Eringen_Medal>	Eringen Medal
<William_Thomas_Beckford>	William Thomas Beckford
<Robert_Stephen_John_Sparks>	Robert Stephen John Sparks
<Yoo_Jun-sang>	Yoo Jun-sang
<Real_Madrid_C>	Real Madrid C
<Rangers_F.C.>	Rangers F.C.
<CKCY_(AM)>	CKCY (AM)
<Lester_Maddox>	Lester Maddox
<Gottfried_Wilhelm_Leibniz_Prize>	Gottfried Wilhelm Leibniz Prize
<Choi_Won-young>	Choi Won-young
<Brazilian_Socialist_Party>	Brazilian Socialist Party
<Nick_Jr._(CIS)>	Nick Jr. (CIS)
<Robert_Best_(politician)>	Robert Best (politician)
<K._S._L._Swamy>	K. S. L. Swamy
<Paavo_Nurmi>	Paavo Nurmi
<Roy_Jenkins>	Roy Jenkins
<Jon_Cryer>	Jon Cryer
<Nick_Saban>	Nick Saban
<Lucille_La_Verne>	Lucille La Verne
<The_34-Ton_Bat>	The 34-Ton Bat
<Foxboro_Stadium>	Foxboro Stadium
<Inter-American_Tropical_Tuna_Commission>	Inter-American Tropical Tuna Commission
<Arthur_Hailey>	Arthur Hailey
<Éamon_Zayed>	Éamon Zayed
<Walter_Landor>	Walter Landor
<Astral_Media>	Astral Media
<Troian_Bellisario>	Troian Bellisario
<Chaya_Singh>	Chaya Singh
<Shōhei_Ōoka>	Shōhei Ōoka
<Henrik_Ojamaa>	Henrik Ojamaa
<Ukraine_national_under-21_football_team>	Ukraine national under-21 football team
<Federico_Fellini>	Federico Fellini
<Gordon_Bess>	Gordon Bess
<Frances_Howard_(actress)>	Frances Howard (actress)
<Girona_FC>	Girona FC
<Zdeněk_Fierlinger>	Zdeněk Fierlinger
<Bebe_Daniels>	Bebe Daniels
<Kerem_Demirbay>	Kerem Demirbay
<Randy_Savage>	Randy Savage
<Choy_Kan-pui>	Choy Kan-pui
<Angelino_Alfano>	Angelino Alfano
<Marylebone>	Marylebone
<A_Boy_Named_Sue>	A Boy Named Sue
<Adolphe_Sax>	Adolphe Sax
<Renan_Calheiros>	Renan Calheiros
<Meshach_Taylor>	Meshach Taylor
<George_Hamilton_(actor)>	George Hamilton (actor)
<Shigeru_Uehara>	Shigeru Uehara
<Balzan_Prize>	Balzan Prize
<Judith_Barrett>	Judith Barrett
<Kate_Jackson>	Kate Jackson
<De_kellner_en_de_levenden>	De kellner en de levenden
<Wiesbaden>	Wiesbaden
<Duncan_Preston>	Duncan Preston
<Sheffield_Wednesday_F.C.>	Sheffield Wednesday F.C.
<Alex_Campbell_(golfer)>	Alex Campbell (golfer)
<Mitchel_Musso>	Mitchel Musso
<Flushing,_Queens>	Flushing, Queens
<Paul_R._Ehrlich>	Paul R. Ehrlich
<Raising_Victor_Vargas>	Raising Victor Vargas
<University_of_Hamburg>	University of Hamburg
<The_Guard_(2011_film)>	The Guard (2011 film)
<Dexterity_(video_game)>	Dexterity (video game)
<Christophe_Beck>	Christophe Beck
<IEEE_Fellow>	IEEE Fellow
<Withers_Building>	Withers Building
<PeopleSoft>	PeopleSoft
<Ashraf_Sinclair>	Ashraf Sinclair
<Whitley_Strieber>	Whitley Strieber
<Tina_Sinatra>	Tina Sinatra
<British_Aerospace>	British Aerospace
<Janet_Fielding>	Janet Fielding
<Charlton_Athletic_F.C.>	Charlton Athletic F.C.
<Kia_K9>	Kia K9
<John_Steinbeck>	John Steinbeck
<Alone_in_the_Dark_(2008_video_game)>	Alone in the Dark (2008 video game)
<S.S._Lazio>	S.S. Lazio
<Dena_Grayson>	Dena Grayson
<Susan_Harris>	Susan Harris
<Frazier_Glenn_Miller_Jr.>	Frazier Glenn Miller Jr.
<FC_Zorya_Luhansk>	FC Zorya Luhansk
<S.C._Espinho>	S.C. Espinho
<Kim_Kimoon>	Kim Kimoon
<Hong_Eun-hee>	Hong Eun-hee
<James_Brown_Lord>	James Brown Lord
<FC_Spartak_Moscow>	FC Spartak Moscow
<National_Science_Foundation>	National Science Foundation
<Fall_River,_Massachusetts>	Fall River, Massachusetts
<T.A._Welsh>	T.A. Welsh
<Uppsala_University>	Uppsala University
<Firaxis_Games>	Firaxis Games
<Pearson_Television>	Pearson Television
<James_J._Wynne>	James J. Wynne
<Arthur_Blomfield>	Arthur Blomfield
<Prince_Max,_Duke_in_Bavaria>	Prince Max, Duke in Bavaria
<Stampede_Wrestling>	Stampede Wrestling
<Oh_Yeon-soo>	Oh Yeon-soo
<Alessandro_Marchetti_(aircraft_engineer)>	Alessandro Marchetti (aircraft engineer)
<Nico_Mirallegro>	Nico Mirallegro
<Mary_Pickford>	Mary Pickford
<Jerry_Jarrett>	Jerry Jarrett
<Craig_Rocastle>	Craig Rocastle
<Mike_Eng>	Mike Eng
<George_McRae>	George McRae
<Dani_Tortolero>	Dani Tortolero
<Deerfield_Residence>	Deerfield Residence
<Royal_Society>	Royal Society
<John_W._Blodgett>	John W. Blodgett
<Graham_Waterhouse>	Graham Waterhouse
<Philadelphia_Phillies_(NFL)>	Philadelphia Phillies (NFL)
<Junction_Oval>	Junction Oval
<Fania_Marinoff>	Fania Marinoff
<Ashley_Bayes>	Ashley Bayes
<Esporte_Clube_Vitória>	Esporte Clube Vitória
<Mónica_Ayos>	Mónica Ayos
<Hong_Huifang>	Hong Huifang
<Railway_Recruitment_Control_Board>	Railway Recruitment Control Board
<Glass_Joe>	Glass Joe
<Roland_Joffé>	Roland Joffé
<Marie_Galante_(film)>	Marie Galante (film)
<Strictly_Come_Dancing_(series_13)>	Strictly Come Dancing (series 13)
<Tony_Capaldi>	Tony Capaldi
<Gigō_Funakoshi>	Gigō Funakoshi
<Lionel_Trilling>	Lionel Trilling
<National_Wrestling_Alliance>	National Wrestling Alliance
<Canton_Bulldogs>	Canton Bulldogs
<Ayhan_Şahenk>	Ayhan Şahenk
<Guram_Dochanashvili>	Guram Dochanashvili
<Jean_Genet>	Jean Genet
<DZ_Bank>	DZ Bank
<Thor_Battering_the_Midgard_Serpent>	Thor Battering the Midgard Serpent
<The_Inspiration_Networks>	The Inspiration Networks
<Alexander_Marshall_Mackenzie>	Alexander Marshall Mackenzie
<Pamela_McCorduck>	Pamela McCorduck
<Identity_Thief>	Identity Thief
<Raquel_Diaz>	Raquel Diaz
<Meridiam>	Meridiam
<Torrey_DeVitto>	Torrey DeVitto
<Jean_Parker>	Jean Parker
<Raúl_Bravo>	Raúl Bravo
<Doris_Roberts>	Doris Roberts
<Paoli_Dam>	Paoli Dam
<Wollaston_Medal>	Wollaston Medal
<Baldwin_&_Pennington>	Baldwin & Pennington
<Natalie_Talmadge>	Natalie Talmadge
<James_Irvine_(chemist)>	James Irvine (chemist)
<Valeri_Simeonov>	Valeri Simeonov
<Robert_W._Decker>	Robert W. Decker
<John_Harvey_Kellogg>	John Harvey Kellogg
<S.C._Beira-Mar>	S.C. Beira-Mar
<Julia_Louis-Dreyfus>	Julia Louis-Dreyfus
<Aldershot_Town_F.C.>	Aldershot Town F.C.
<Ernst_Anschütz>	Ernst Anschütz
<Open_University>	Open University
<CDG_Capital>	CDG Capital
<Jóan_Símun_Edmundsson>	Jóan Símun Edmundsson
<Alpha_Bank_Srbija>	Alpha Bank Srbija
<Fritz_Schumacher_(architect)>	Fritz Schumacher (architect)
<Central_railway_station,_Sydney>	Central railway station, Sydney
<Timoleon_Vieta_Come_Home>	Timoleon Vieta Come Home
<Edwin_Hubble>	Edwin Hubble
<Marvin_Kratter>	Marvin Kratter
<Luís_Filipe_(Portuguese_footballer)>	Luís Filipe (Portuguese footballer)
<Believe/Kumorinochi,_Kaisei>	Believe/Kumorinochi, Kaisei
<Barbara_Bain>	Barbara Bain
<David_Kurtz_(composer)>	David Kurtz (composer)
<Daniel_Lapaine>	Daniel Lapaine
<Prince_Constantijn_of_the_Netherlands>	Prince Constantijn of the Netherlands
<James_Cullen_Martin>	James Cullen Martin
<Luiza_Erundina>	Luiza Erundina
<Alexander_Agassiz_Medal>	Alexander Agassiz Medal
<Autzen_Stadium>	Autzen Stadium
<Herbie_Mann's_African_Suite>	Herbie Mann's African Suite
<John_Lasseter>	John Lasseter
<Karl_Friedrich_Schinkel>	Karl Friedrich Schinkel
<John_Bell_(Tennessee_politician)>	John Bell (Tennessee politician)
<Baltimore_Country_Club>	Baltimore Country Club
<Pierre_Chenal>	Pierre Chenal
<Neville_Southall>	Neville Southall
<Somain-Péruwelz_Railway>	Somain-Péruwelz Railway
<Dou_Wei>	Dou Wei
<William_W._Church>	William W. Church
<Udhao>	Udhao
<Clube_de_Regatas_do_Flamengo>	Clube de Regatas do Flamengo
<Helen_Hunt>	Helen Hunt
<Gabriel_Macht>	Gabriel Macht
<Barbara_Follett_(politician)>	Barbara Follett (politician)
<X-COM>	X-COM
<Fei-Fei_Li>	Fei-Fei Li
<Amarcord>	Amarcord
<Antonio_Sacre>	Antonio Sacre
<Jonathan_Jackson_(actor)>	Jonathan Jackson (actor)
<229_West_43rd_Street>	229 West 43rd Street
<Brandon_Douglas>	Brandon Douglas
<Four_O'Clock_(The_Twilight_Zone)>	Four O'Clock (The Twilight Zone)
<Andrew_Kishino>	Andrew Kishino
<Scelionidae>	Scelionidae
<The_Whitsun_Weddings>	The Whitsun Weddings
<Eurípedes_Amoreirinha>	Eurípedes Amoreirinha
<Richard_Levins>	Richard Levins
<An_Artist_of_the_Floating_World>	An Artist of the Floating World
<Emily_Deschanel>	Emily Deschanel
<Mamie_Gummer>	Mamie Gummer
<Vernor_Vinge>	Vernor Vinge
<Thomas_Henry_Huxley>	Thomas Henry Huxley
<Rajeshwari_Sachdev>	Rajeshwari Sachdev
<Gilead_(novel)>	Gilead (novel)
<The_People_of_Freedom>	The People of Freedom
<Debbie_Arnold>	Debbie Arnold
<Jordon_Mutch>	Jordon Mutch
<Doğuş_Media_Group>	Doğuş Media Group
<George_McDonald_(Australian_politician)>	George McDonald (Australian politician)
<NAS_Award_in_Chemical_Sciences>	NAS Award in Chemical Sciences
<BIGLOBE>	BIGLOBE
<Kim_Hartman>	Kim Hartman
<George_Stephanopoulos>	George Stephanopoulos
<Manuel_Fraga_Iribarne>	Manuel Fraga Iribarne
<Flowers_for_Algernon>	Flowers for Algernon
<Frederick_Reines>	Frederick Reines
<College_of_William_&_Mary>	College of William & Mary
<Easy_A>	Easy A
<Phnom_Chisor>	Phnom Chisor
<James_F._Moore>	James F. Moore
<Stockport_County_F.C.>	Stockport County F.C.
<Michael_Mosley_(actor)>	Michael Mosley (actor)
<Guildford>	Guildford
<Banco_BPM>	Banco BPM
<Lenovo>	Lenovo
<Bob_Smith_(American_politician)>	Bob Smith (American politician)
<Simon_Newcomb>	Simon Newcomb
<Emmi_Handke>	Emmi Handke
<KF_Tirana>	KF Tirana
<Louis_E._Brus>	Louis E. Brus
<Sun_Capital_Partners>	Sun Capital Partners
<Andrew_Cavendish,_11th_Duke_of_Devonshire>	Andrew Cavendish, 11th Duke of Devonshire
<David_Small>	David Small
<Hongkong_Chinese_Limited>	Hongkong Chinese Limited
<Dennis_Gabor>	Dennis Gabor
<William_Keighley>	William Keighley
<Tom_Kibble>	Tom Kibble
<Marischal_College>	Marischal College
<Billericay_Town_F.C.>	Billericay Town F.C.
<Hugo_Marques>	Hugo Marques
<Jeffrey_C._Hall>	Jeffrey C. Hall
<Tel_Aviv_University>	Tel Aviv University
<Maranottar>	Maranottar
<Alexandre_Nero>	Alexandre Nero
<Melbourne>	Melbourne
<Willie_Kelly_(politician)>	Willie Kelly (politician)
<Lenovo_IdeaPad_S100>	Lenovo IdeaPad S100
<Jean-Baptiste_Delaveyne>	Jean-Baptiste Delaveyne
<Ostrowski_Prize>	Ostrowski Prize
<PRISA_TV>	PRISA TV
<Sequence_(2013_film)>	Sequence (2013 film)
<Tom_Hulce>	Tom Hulce
<Wild_Boys_of_the_Road>	Wild Boys of the Road
<Scott_Carpenter>	Scott Carpenter
<Brazilian_Communist_Party>	Brazilian Communist Party
<Laura_Johnson>	Laura Johnson
<Liberty_Ross>	Liberty Ross
<Bayer_04_Leverkusen>	Bayer 04 Leverkusen
<Robert_Hastie>	Robert Hastie
<Brighton_Friends_Meeting_House>	Brighton Friends Meeting House
<Nylon_Chen>	Nylon Chen
<Angelika_Amon>	Angelika Amon
<Tony_Adams_(producer)>	Tony Adams (producer)
<Christ's_College_Chapel>	Christ's College Chapel
<W._Jason_Morgan>	W. Jason Morgan
<Save_Karyn>	Save Karyn
<Holy_Trinity_Church_(Juneau,_Alaska)>	Holy Trinity Church (Juneau, Alaska)
<DXRX>	DXRX
<Richard_Friend>	Richard Friend
<Evelina>	Evelina
<Issey_Nakajima-Farran>	Issey Nakajima-Farran
<Helen_Quinn>	Helen Quinn
<Yuva_Puraskar>	Yuva Puraskar
<The_Lamplighter>	The Lamplighter
<Vicinity_Centres>	Vicinity Centres
<Terry_Stratton>	Terry Stratton
<Chelsea_F.C.>	Chelsea F.C.
<Populous_(company)>	Populous (company)
<Frink_Medal>	Frink Medal
<Sunny_Wang>	Sunny Wang
<Steve_Pinau>	Steve Pinau
<University_of_Freiburg>	University of Freiburg
<Bruce_Friedrich>	Bruce Friedrich
<John_Lennard-Jones>	John Lennard-Jones
<Tomasz_Kuszczak>	Tomasz Kuszczak
<Newchurch_(Isle_of_Wight)_railway_station>	Newchurch (Isle of Wight) railway station
<Irvin_Rybicki>	Irvin Rybicki
<Alien_(film)>	Alien (film)
<Ringworld>	Ringworld
<FC_Dynamo_Moscow>	FC Dynamo Moscow
<William_Brinkley>	William Brinkley
<Gemstar-TV_Guide_International>	Gemstar-TV Guide International
<Apollo_100>	Apollo 100
<Kinshasa>	Kinshasa
<Eli_Roth>	Eli Roth
<Constantin_Brâncoveanu>	Constantin Brâncoveanu
<Ed_Dodd>	Ed Dodd
<Tao_Hong_(actress,_born_1972)>	Tao Hong (actress, born 1972)
<Rudolf_Klein-Rogge>	Rudolf Klein-Rogge
<Camera_di_Commercio,_Industria,_Agricoltura_e_Artigianato>	Camera di Commercio, Industria, Agricoltura e Artigianato
<Gold_Medal_of_the_Royal_Astronomical_Society>	Gold Medal of the Royal Astronomical Society
<Islington>	Islington
<Judith_Light>	Judith Light
<Eric_Garris>	Eric Garris
<Solomon_Kullback>	Solomon Kullback
<In_Time_with_You>	In Time with You
<Hywel_Simons>	Hywel Simons
<Jack_R._Lousma>	Jack R. Lousma
<Yehuda_Avner>	Yehuda Avner
<Japan>	Japan
<Joris-Karl_Huysmans>	Joris-Karl Huysmans
<HNK_Hajduk_Split>	HNK Hajduk Split
<Sweden>	Sweden
<Banca_Intermobiliare>	Banca Intermobiliare
<Stewart_Resnick>	Stewart Resnick
<Credito_Valtellinese>	Credito Valtellinese
<Grand_Rapids,_Michigan>	Grand Rapids, Michigan
<Turkey_national_under-21_football_team>	Turkey national under-21 football team
<Lubomirski_Palace,_Warsaw>	Lubomirski Palace, Warsaw
<Simon_A._Levin>	Simon A. Levin
<Superior_Coach_Company>	Superior Coach Company
<Umashankar_Joshi>	Umashankar Joshi
<Paul_Doughty_Bartlett>	Paul Doughty Bartlett
<Richard_Clipston_Sturgis>	Richard Clipston Sturgis
<Loren_Pankratz>	Loren Pankratz
<Matthew_Collins>	Matthew Collins
<PO_Corrèze>	PO Corrèze
<Milky_Way>	Milky Way
<Susan_Douglas_Rubes>	Susan Douglas Rubes
<Killing_Car>	Killing Car
<Fredric_March>	Fredric March
<Jennifer_Aniston>	Jennifer Aniston
<Great_House_(novel)>	Great House (novel)
<Battlefield_(video_game_series)>	Battlefield (video game series)
<Wolf_Prize_in_Medicine>	Wolf Prize in Medicine
<Stefán_Gíslason>	Stefán Gíslason
<Thomas_W._Lamb>	Thomas W. Lamb
<Eastern_Standard>	Eastern Standard
<Doña_Bárbara_(1943_film)>	Doña Bárbara (1943 film)
<Lutte_Internationale>	Lutte Internationale
<Right_Here_for_U>	Right Here for U
<Adrianne_Allen>	Adrianne Allen
<Jordi_Vilasuso>	Jordi Vilasuso
<BMW_7_Series_(E32)>	BMW 7 Series (E32)
<Vilhelm_Aubert>	Vilhelm Aubert
<Pony_Poindexter_Plays_the_Big_Ones>	Pony Poindexter Plays the Big Ones
<John_Nolan_(British_actor)>	John Nolan (British actor)
<Anthony_Franciosa>	Anthony Franciosa
<WKBF-TV>	WKBF-TV
<Petit_Luxembourg>	Petit Luxembourg
<Jay_Bothroyd>	Jay Bothroyd
<Luis_Walter_Alvarez>	Luis Walter Alvarez
<Noël_Coward>	Noël Coward
<John_C._Slater>	John C. Slater
<University_of_Bristol>	University of Bristol
